Old Base	New Base
http://purl.obolibrary.org/obo/HOSO_	http://purl.obolibrary.org/obo/MPHPO-HOSO_
http://purl.obolibrary.org/obo/IOIO_	http://purl.obolibrary.org/obo/MPHPO-IOIO_
http://purl.obolibrary.org/obo/HEPRO_	http://purl.obolibrary.org/obo/MPHPO-HEPRO_
http://purl.obolibrary.org/obo/OpenLHS-Core_	http://purl.obolibrary.org/obo/MPHPO-OpenLHS-Core_
